SMILES,Compound_Name,Bioavailability_%,Source,Reference,MW,LogP
CC(C)c1cc(C(=O)O)ccc1O,Naproxen_analog_65,98.3360888773054,Synthetic_Analog,Generated_Variation,180.20299999999997,2.2138000000000004
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Phenytoin_analog_66,81.65969485696925,Synthetic_Analog,Generated_Variation,206.28499999999997,3.073200000000001
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene_analog_67,68.78624307415926,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
c1ccc(cc1)C(C)C,Isopropylbenzene_analog_68,88.9553888924947,Synthetic_Analog,Generated_Variation,120.19499999999996,2.8100000000000014
CC(=O)Oc1ccccc1C(=O)O,Aspirin_analog_69,63.186347102164824,Synthetic_Analog,Generated_Variation,180.15899999999996,1.3101
CN1CCC[C@H]1c2cccnc2,Nicotine_analog_70,34.818225476071504,Synthetic_Analog,Generated_Variation,162.236,1.8483
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_71",70.7308095692601,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)c1ccc(O)cc1,4-Isopropylphenol_analog_72,84.95577710143898,Synthetic_Analog,Generated_Variation,136.19399999999996,2.515600000000001
c1ccc(cc1)c2ccccc2,Biphenyl_analog_73,81.5803592968255,Synthetic_Analog,Generated_Variation,154.21199999999996,3.353600000000002
CC(=O)Oc1ccccc1C(=O)O,Aspirin_analog_74,58.23325080023182,Synthetic_Analog,Generated_Variation,180.15899999999996,1.3101
CC(C)NCC(COc1ccccc1)O,Propranolol_analog_75,28.58399837822638,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)c1ccc(O)c(C(C)C)c1,"2,5-Diisopropylphenol_analog_76",66.85266447301836,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)(C)c1ccc(O)cc1,4-tert-Butylphenol_analog_77,89.7491065284309,Synthetic_Analog,Generated_Variation,150.22099999999998,2.689700000000001
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_78",90.05408831158888,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1,Cumene_analog_79,87.07481374089407,Synthetic_Analog,Generated_Variation,120.19499999999995,2.8100000000000014
CC(C)Cc1ccccc1,Isobutylbenzene_analog_80,79.59117043528569,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_81",76.18960333466946,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
c1ccc(cc1)C(C)C,Isopropylbenzene_analog_82,75.69486670669632,Synthetic_Analog,Generated_Variation,120.19499999999996,2.8100000000000014
CC(C)(C)c1ccccc1,tert-Butylbenzene_analog_83,87.74894631654769,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_84,70.89567875709812,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
CC(C)c1ccc(O)c(C(C)C)c1,"2,5-Diisopropylphenol_analog_85",82.65698235770431,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_86",90.10198767674686,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_87",76.2862598142189,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CN1CCC[C@H]1c2cccnc2,Nicotine_analog_88,17.526300993190283,Synthetic_Analog,Generated_Variation,162.236,1.8483
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Phenytoin_analog_89,62.934773683620136,Synthetic_Analog,Generated_Variation,206.28499999999997,3.073200000000001
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_90",91.79717580627856,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1,Cumene_analog_91,97.69737873706501,Synthetic_Analog,Generated_Variation,120.19499999999995,2.8100000000000014
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_92",84.86797443634445,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene_analog_93,91.66308061600012,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_94",69.52570097307294,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)C(C)C,Isopropylbenzene_analog_95,72.52989727270361,Synthetic_Analog,Generated_Variation,120.19499999999996,2.8100000000000014
CC(C)c1ccc(O)cc1,4-Isopropylphenol_analog_96,91.2736655012315,Synthetic_Analog,Generated_Variation,136.19399999999996,2.515600000000001
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene_analog_97,83.79572913392174,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,Leflunomide_analog_98,72.27553862484021,Synthetic_Analog,Generated_Variation,270.21,3.2541200000000012
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_99",58.64999633126878,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_100",78.33993293871536,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,Diclofenac_analog_101,52.242624897299905,Synthetic_Analog,Generated_Variation,296.153,4.364100000000001
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_102",72.85690057209398,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CC(C)c1ccccc1,Cumene_analog_103,81.68593337041663,Synthetic_Analog,Generated_Variation,120.19499999999995,2.8100000000000014
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_104",75.94969027016981,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CN1CCC[C@H]1c2cccnc2,Nicotine_analog_105,13.532051176854498,Synthetic_Analog,Generated_Variation,162.236,1.8483
CC(=O)Oc1ccccc1C(=O)O,Aspirin_analog_106,63.98594365132371,Synthetic_Analog,Generated_Variation,180.15899999999996,1.3101
CC(C)c1ccc(O)c(C(C)C)c1,"2,5-Diisopropylphenol_analog_107",82.01158665219845,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)NCC(COc1ccccc1)O,Propranolol_analog_108,35.26549322345622,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_109,80.7619183698637,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
CC(C)c1ccc(O)c(C(C)C)c1,"2,6-Diisopropylphenol_analog_110",76.10613946490685,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)NCC(COc1ccccc1)O,Atenolol_analog_111,43.80765655402797,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)(C)c1ccccc1,tert-Butylbenzene_analog_112,82.1217748376641,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene_analog_113,82.93452161170929,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene_analog_114,91.68764492336234,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CCCCCCCCCCCCCCCCCCCc1ccc(O)cc1,Octylphenol_analog_115,70.75859161949224,Synthetic_Analog,Generated_Variation,360.626,8.586300000000003
c1ccc(cc1)C(C)C,Isopropylbenzene_analog_116,82.76414355111012,Synthetic_Analog,Generated_Variation,120.19499999999996,2.8100000000000014
CC(C)c1ccccc1O,2-Isopropylphenol_analog_117,79.25828386778585,Synthetic_Analog,Generated_Variation,136.19399999999996,2.5156000000000014
CC(C)c1ccccc1,Cumene_analog_118,81.58178184622705,Synthetic_Analog,Generated_Variation,120.19499999999995,2.8100000000000014
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_119",85.08948720968424,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CC(C)c1ccccc1C(C)C,"3,5-Diisopropylbenzene_analog_120",85.39662250265471,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"3,5-Diisopropylbenzene_analog_121",77.23186386835435,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene_analog_122,78.4200850497595,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CC(=O)Oc1ccccc1C(=O)O,Aspirin_analog_123,61.933383035854064,Synthetic_Analog,Generated_Variation,180.15899999999996,1.3101
c1ccc(cc1)c2ccccc2,Biphenyl_analog_124,78.65932518975315,Synthetic_Analog,Generated_Variation,154.21199999999996,3.353600000000002
CC(C)c1ccccc1C(C)C,"3,5-Diisopropylbenzene_analog_125",83.48497559359227,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1,Cumene_analog_126,90.75921868035783,Synthetic_Analog,Generated_Variation,120.19499999999995,2.8100000000000014
c1ccc(cc1)C(C)C,Isopropylbenzene_analog_127,89.89612858349169,Synthetic_Analog,Generated_Variation,120.19499999999996,2.8100000000000014
CC(=O)Oc1ccccc1C(=O)O,Aspirin_analog_128,56.58816892219558,Synthetic_Analog,Generated_Variation,180.15899999999996,1.3101
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_129",90.72027811140372,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,Diclofenac_analog_130,38.48071025117405,Synthetic_Analog,Generated_Variation,296.153,4.364100000000001
CC(C)NCC(COc1ccccc1)O,Atenolol_analog_131,39.42498439493249,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
c1ccc(cc1)CC(C)C,Isobutylbenzene_analog_132,76.6540264069407,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)Cc1ccccc1,Isobutylbenzene_analog_133,84.84927864311504,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
c1ccc(cc1)CC(=O)O,Phenylacetic acid_analog_134,77.82495300528988,Synthetic_Analog,Generated_Variation,136.14999999999998,1.3137
CC(C)NCC(COc1ccccc1)O,Atenolol_analog_135,54.09938985897283,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Phenytoin_analog_136,79.34790952993949,Synthetic_Analog,Generated_Variation,206.28499999999997,3.073200000000001
CC(C)NCC(COc1ccccc1)O,Propranolol_analog_137,32.31738243800538,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)c1ccccc1C(C)C,"3,5-Diisopropylbenzene_analog_138",87.45191570610433,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)C(c2ccccc2)c3ccccc3,Triphenylmethane_analog_139,22.10009291533015,Synthetic_Analog,Generated_Variation,244.337,4.866800000000003
CC(C)CC(C)C(=O)O,3-Methylbutyric acid_analog_140,96.8438650467814,Synthetic_Analog,Generated_Variation,130.18699999999998,1.7532
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_141",73.42410272791543,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene_analog_142,68.24240907945922,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen_analog_143,89.35366117562099,Synthetic_Analog,Generated_Variation,206.28499999999997,3.073200000000001
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine_analog_144,99.0,Synthetic_Analog,Generated_Variation,194.194,-1.0293
CC(C)c1ccccc1,Cumene_analog_145,99.0,Synthetic_Analog,Generated_Variation,120.19499999999995,2.8100000000000014
CN1CCC[C@H]1c2cccnc2,Nicotine_analog_146,23.170991520515535,Synthetic_Analog,Generated_Variation,162.236,1.8483
CC(C)Cc1ccccc1,Isobutylbenzene_analog_147,83.81967947683303,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)c1ccccc1C(C)C,"3,5-Diisopropylbenzene_analog_148",94.45714203425942,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(=O)Oc1ccccc1C(=O)O,Aspirin_analog_149,76.00388486209684,Synthetic_Analog,Generated_Variation,180.15899999999996,1.3101
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Phenytoin_analog_150,76.21936689807407,Synthetic_Analog,Generated_Variation,206.28499999999997,3.073200000000001
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_151,95.3951745141159,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
CC(C)c1cc(C(=O)O)ccc1O,Naproxen_analog_152,88.06283075160357,Synthetic_Analog,Generated_Variation,180.20299999999997,2.2138000000000004
CC(C)CC(C)C(=O)O,3-Methylbutyric acid_analog_153,94.00394280276701,Synthetic_Analog,Generated_Variation,130.18699999999998,1.7532
CC(C)Cc1ccccc1,Isobutylbenzene_analog_154,84.7715856759758,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)NCC(COc1ccccc1)O,Atenolol_analog_155,56.83198229195921,Synthetic_Analog,Generated_Variation,209.28900000000002,1.4242999999999997
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_156",97.3087508586037,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)(C)c1ccccc1,tert-Butylbenzene_analog_157,86.39866409593176,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_158",73.26516086112609,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)Cc1ccccc1,Isobutylbenzene_analog_159,81.96114444279176,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_160",79.93341354987277,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)CC(C)C(=O)O,3-Methylbutyric acid_analog_161,99.0,Synthetic_Analog,Generated_Variation,130.18699999999998,1.7532
CC(C)c1cc(C(=O)O)ccc1O,Naproxen_analog_162,89.12361880041979,Synthetic_Analog,Generated_Variation,180.20299999999997,2.2138000000000004
c1ccc(cc1)c2ccccc2,Biphenyl_analog_163,78.34494817564469,Synthetic_Analog,Generated_Variation,154.21199999999996,3.353600000000002
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,Leflunomide_analog_164,64.90777563371489,Synthetic_Analog,Generated_Variation,270.21,3.2541200000000012
c1ccc(cc1)CC(=O)O,Phenylacetic acid_analog_165,70.88388456299582,Synthetic_Analog,Generated_Variation,136.14999999999998,1.3137
c1ccc(cc1)CC(C)C,Isobutylbenzene_analog_166,75.47351772027649,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
c1ccc(cc1)CC(C)C,Isobutylbenzene_analog_167,89.02938838552717,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene_analog_168,86.08324393444953,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene_analog_169,88.10401513502326,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_170,96.62827261725853,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
CC(C)c1ccccc1C(C)C,"2,6-Diisopropylbenzene_analog_171",73.7487578625476,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_172",82.72376275124154,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)C(c2ccccc2)c3ccccc3,Triphenylmethane_analog_173,26.838790201588424,Synthetic_Analog,Generated_Variation,244.337,4.866800000000003
c1ccc(cc1)c2ccccc2,Biphenyl_analog_174,78.17419425016904,Synthetic_Analog,Generated_Variation,154.21199999999996,3.353600000000002
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_175",73.2122977173932,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_176,90.71200395273674,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
c1ccc(cc1)C(C)C,Isopropylbenzene_analog_177,79.00694088894673,Synthetic_Analog,Generated_Variation,120.19499999999996,2.8100000000000014
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_178",80.9227265435819,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_179",75.40384763856913,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1O,2-Isopropylphenol_analog_180,77.22482134749798,Synthetic_Analog,Generated_Variation,136.19399999999996,2.5156000000000014
CC(C)c1cc(C(=O)O)ccc1O,Naproxen_analog_181,96.71274995304164,Synthetic_Analog,Generated_Variation,180.20299999999997,2.2138000000000004
CC(C)c1ccc(O)c(c1)C(C)C,"3,5-Diisopropylphenol_analog_182",65.03408977030409,Synthetic_Analog,Generated_Variation,178.27499999999998,3.639000000000003
CC(C)c1cc(C(=O)O)ccc1O,Naproxen_analog_183,87.92914051039094,Synthetic_Analog,Generated_Variation,180.20299999999997,2.2138000000000004
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_184",71.22980084756422,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CC(C)c1ccccc1C(C)C,"2,6-Diisopropylbenzene_analog_185",93.45938807089901,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)c2ccccc2,Biphenyl_analog_186,75.41088687583708,Synthetic_Analog,Generated_Variation,154.21199999999996,3.353600000000002
CC(C)c1ccc(cc1)C(C)C,p-Diisopropylbenzene_analog_187,96.66440994540221,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_188",91.43041641627923,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)C(C)(C)C,tert-Butylbenzene_analog_189,92.24097567965248,Synthetic_Analog,Generated_Variation,134.22199999999998,2.9841000000000015
CC(C)c1ccccc1C(C)C,"2,4-Diisopropylbenzene_analog_190",78.16876502012377,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
CC(C)c1ccc(O)cc1C(C)C,"2,4-Diisopropylphenol_analog_192",99.0,Synthetic_Analog,Generated_Variation,178.27499999999995,3.639000000000002
CC(C)Cc1ccccc1,Isobutylbenzene_analog_194,89.9056208840329,Synthetic_Analog,Generated_Variation,134.22199999999998,2.8851000000000013
CC(C)c1ccc(O)cc1,4-Isopropylphenol_analog_195,82.47784604287723,Synthetic_Analog,Generated_Variation,136.19399999999996,2.515600000000001
CC(C)Cc1ccc(cc1)C(C)C,p-Isobutylisopropylbenzene_analog_196,91.07175376394613,Synthetic_Analog,Generated_Variation,176.30299999999997,4.008500000000003
CC(C)c1ccccc1C(C)C,"2,6-Diisopropylbenzene_analog_197",86.32018238487471,Synthetic_Analog,Generated_Variation,162.27599999999995,3.9334000000000033
c1ccc(cc1)CC(=O)O,Phenylacetic acid_analog_198,71.15256865736505,Synthetic_Analog,Generated_Variation,136.14999999999998,1.3137
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,Leflunomide_analog_199,98.51726853338806,Synthetic_Analog,Generated_Variation,270.21,3.2541200000000012
