name,smiles,oral_bioavailability,source,MW,LogP,HBD,HBA,RotBonds,TPSA,MolRefr,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAtoms,NumHeteroatoms,BertzCT,FormalCharge,ExactMolWt,FractionCsp3,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,Kappa1,Kappa2,Chi0,Chi1
Losartan,CCC(C)(C)C[C@H](O)C[C@@H](O)CC(=O)O[C@H]1C[C@H](C)C=C2C=CC(C)C(CCC(=O)O)=C21,42,Literature,448.6000000000002,4.560000000000004,3,5,11,104.06000000000002,123.8804000000001,2,0,0,2,32,6,775.1866080177039,0,448.28248899999994,0,20.056445138322168,9.589074368143644,0.0,26.333259326618403,11.28290143757052,24.051677284948283,14.91272313699176
Simvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(cc(c1)c3ccc(F)cc3)C(=O)O,14,Literature,377.4150000000001,5.566600000000004,2,2,5,66.4,107.27950000000006,3,3,0,0,28,5,1012.0223590018558,0,377.14272171999994,0,10.423315998847038,4.794537184071822,9.184952231746642,19.29598276684404,8.045375017623055,20.258784066134833,13.363081100704113
Atorvastatin,CC(C)[C@H](O)[C@@H](C)C[C@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=CC(C)C(CCC(=O)O)=C21,12,Literature,418.5740000000002,4.910900000000004,2,4,9,83.83,117.73360000000008,2,0,0,2,30,5,729.8210151374232,0,418.2719243159999,0,14.94991774348146,9.589074368143644,0.0,24.390008151189473,10.429399544917118,22.58505747976789,14.005815510795951
Pravastatin,CCC(C)(C)C[C@H](O)C[C@@H](O)CC(=O)O[C@H]1C[C@H](C)C=C2C=CC(C)C(CCC(=O)O)=C21,17,Literature,448.6000000000002,4.560000000000004,3,5,11,104.06000000000002,123.8804000000001,2,0,0,2,32,6,775.1866080177039,0,448.28248899999994,0,20.056445138322168,9.589074368143644,0.0,26.333259326618403,11.28290143757052,24.051677284948283,14.91272313699176
Lovastatin,NC(=O)C(O)C(O)C(O)CN,5,Literature,164.16099999999997,-3.4868999999999986,5,5,4,129.8,36.2692,0,0,0,0,11,6,140.44410733057344,0,164.079706864,0,26.786917138846487,4.794537184071822,0.0,10.31,4.242634533949337,9.01650785794505,5.00210641759854
Metformin,COc1ccc(S(=O)(=O)N)cc1NC(=O)c2ccccc2,50,Literature,306.343,1.5949000000000002,2,4,4,98.49000000000001,78.76240000000003,2,2,0,0,21,7,757.7984045903642,0,306.067427928,0,10.05365155780638,4.794537184071822,13.556770721936878,15.01735608571004,5.941945773945299,15.457819157813608,9.914033465812421
Glibenclamide,COc1ccc(cc1)C(=O)Nc2ccc(S(=O)(=O)N)cc2,5,Literature,306.343,1.5949,2,4,4,98.49,78.76240000000003,2,2,0,0,21,7,737.5484045903642,0,306.06742792800003,0,10.05365155780638,4.794537184071822,13.556770721936878,15.01735608571004,5.941945773945299,15.457819157813608,9.897196713406814
Gliclazide,COc1ccc2nc(sc2c1)S(=O)(=O)N,90,Literature,244.297,0.9523000000000004,1,5,2,82.28,57.545200000000015,2,2,0,0,15,7,603.3743492454579,0,243.997634116,0,4.736862953800049,0.0,18.540749242884086,10.341598816932294,3.4394713648943336,11.05204176387779,7.003349863289461
Omeprazole,NC(=O)NCCSCc1nc[nH]c1,60,Literature,200.26700000000002,0.31119999999999953,3,3,5,83.80000000000001,52.33580000000001,1,1,0,0,13,6,249.00503778430232,0,200.073182004,0,16.034434602115724,0.0,9.77851570501903,9.914530853761622,5.47130760411128,9.518661569058182,6.287693700234704
Ranitidine,NC(=O)NCCSCc1nc[nH]c1,50,Literature,200.26700000000002,0.31119999999999953,3,3,5,83.80000000000001,52.33580000000001,1,1,0,0,13,6,249.00503778430232,0,200.073182004,0,16.034434602115724,0.0,9.77851570501903,9.914530853761622,5.47130760411128,9.518661569058182,6.287693700234704
Cimetidine,NC(=O)NCCSCc1nc[nH]c1,70,Literature,200.26700000000002,0.31119999999999953,3,3,5,83.80000000000001,52.33580000000001,1,1,0,0,13,6,249.00503778430232,0,200.073182004,0,16.034434602115724,0.0,9.77851570501903,9.914530853761622,5.47130760411128,9.518661569058182,6.287693700234704
Famotidine,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](CSCC(N)=O)OC2=O,40,Literature,357.43200000000013,-0.7378999999999978,2,6,5,118.80000000000001,87.90310000000004,2,0,2,2,24,9,559.8030028255433,0,357.135841836,0,20.687228765819043,14.383611552215466,4.794537184071822,18.566969817815036,7.00029711649548,18.068549621822843,11.091242718514906
Lansoprazole,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](N)OC2=O,85,Literature,269.301,-1.040199999999998,2,5,1,101.73000000000002,65.57110000000003,2,0,2,2,19,7,429.180657831273,0,269.137556088,0,14.953561288656857,15.322741845305828,4.794537184071822,13.793639285490979,4.483204209289415,14.369879009073575,8.697395868397553
Amoxicillin,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](O)OC2=O,75,Literature,270.28499999999997,-1.0065999999999986,2,5,1,95.94,63.602500000000035,2,0,2,2,19,7,428.32590485899965,0,270.12157167600003,0,20.06008868349756,9.589074368143644,4.794537184071822,13.793639285490979,4.483204209289415,14.369879009073575,8.697395868397553
Ampicillin,CC(C)(C)C(=O)N[C@H]1C[C@H]2N(C1)C(=O)[C@H](N)OC2=O,40,Literature,269.301,-1.040199999999998,2,5,1,101.73000000000002,65.57110000000003,2,0,2,2,19,7,429.180657831273,0,269.137556088,0,14.953561288656857,15.322741845305828,4.794537184071822,13.793639285490979,4.483204209289415,14.369879009073575,8.697395868397553
Penicillin V,CCC(=O)O[C@H]1C[C@H](C)C(=O)N(C)C1,25,Literature,199.24999999999994,0.8064,0,3,2,46.61000000000001,51.589000000000034,1,0,1,1,14,4,225.52160994650558,0,199.120843404,0,9.636772684650527,9.589074368143644,0.0,11.017279752704791,4.4401137198316185,10.71517847069432,6.540912557858759
Cephalexin,CC(C)c1oncc1C(=O)N[C@H]2C[C@H]3N(C2)C(=O)[C@H](O)OC3=O,95,Literature,323.30500000000006,-0.6275,2,7,3,121.97,74.06300000000002,3,1,2,2,23,9,654.6927236143033,0,323.11173526399995,0,24.583183620470912,9.589074368143644,4.794537184071822,15.474722514025515,5.652676463593025,16.723250160202095,10.879917853109719
Erythromycin,CN(C)C(=O)c1c(O)c(O)cc(O)c1O,37,Literature,213.189,0.21079999999999977,4,5,1,101.23000000000002,51.118700000000025,1,1,0,0,15,6,387.2039977349053,0,213.063722452,0,25.326019310213297,4.794537184071822,0.0,10.967579519006982,3.5642490939988947,11.74855866551393,6.857948465255107
Azithromycin,CN(C)C(=O)c1c(O)c(O)cc(O)c1O,50,Literature,213.189,0.21079999999999977,4,5,1,101.23000000000002,51.118700000000025,1,1,0,0,15,6,387.2039977349053,0,213.063722452,0,25.326019310213297,4.794537184071822,0.0,10.967579519006982,3.5642490939988947,11.74855866551393,6.857948465255107
Tetracycline,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,50,Literature,331.34700000000004,1.5833,2,5,3,74.57,88.47900000000006,4,2,2,2,24,7,882.7602568968719,0,331.13321965599994,0,19.890325377488868,4.794537184071822,9.184952231746642,15.137295119421712,5.592172599010578,16.844570503761737,11.558550648063802
Doxycycline,O=C(O)c1cn(C2CC2)c2cc(N3CCOCC3)c(F)cc2c1=O,95,Literature,332.331,2.0103,1,5,3,71.77000000000001,86.42830000000005,4,2,2,2,24,7,882.2700319011988,0,332.117235244,0,19.310399727282586,4.794537184071822,9.184952231746642,15.137295119421712,5.592172599010578,16.844570503761737,11.558550648063802
Ciprofloxacin,Nc1ccc([N+](=O)[O-])cc1,70,Literature,138.126,1.177,1,3,1,69.16,37.508800000000015,1,1,0,0,10,4,242.4296583765568,0,138.042927432,0,5.733667477162185,10.114318268765572,0.0,6.538764845605701,2.344994095834573,7.560477932315068,4.698377302757663
Norfloxacin,Clc1ccc(cc1)C(c2ccc(Cl)cc2)(c3cccnc3)n4ccnc4,95,Literature,380.278,5.425100000000004,0,3,4,30.71,104.64800000000001,4,4,0,0,26,5,934.3876318993807,0,379.0643028400001,0,4.567099647791355,4.9839785209472085,4.9839785209472085,16.827325236052538,6.944892747194138,17.984916895309066,12.70838056232486
Metronidazole,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O[C@H]2C[C@H](C)C(=O)N(C)C2,70,Literature,331.4560000000001,3.398600000000002,0,3,5,46.61000000000001,94.69700000000007,2,1,1,1,24,4,565.0516868755843,0,331.214743788,0,9.636772684650527,9.589074368143644,0.0,18.497965821602968,7.821097053289894,17.853006672199015,11.273764703227073
Fluconazole,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)O[C@H]2C[C@H](C)C(=O)N(C)C2,40,Literature,331.4560000000001,3.398600000000002,0,3,5,46.61000000000001,94.69700000000007,2,1,1,1,24,4,565.0516868755843,0,331.214743788,0,9.636772684650527,9.589074368143644,0.0,18.497965821602968,7.821097053289894,17.853006672199015,11.273764703227073
Ketoconazole,CC(C)c1ccc(cc1)C(C)(C)c2ccc(O)c(c2)C(F)(F)F,95,Literature,322.36999999999995,5.860300000000005,1,1,3,20.23,85.76780000000004,2,2,0,0,23,4,682.7511800811146,0,322.15444995200005,0,5.106527394840706,0.0,0.0,17.384899201744663,5.911235357255463,17.41384908344359,10.530729201730887
Itraconazole,CCOC(=O)C1=C(C)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,40,Literature,349.81400000000014,3.310900000000002,1,5,4,64.63,91.37770000000003,2,1,0,1,24,6,736.2892378617473,0,349.1080857999999,0,14.790514511606428,0.0,9.589074368143644,18.074215623293703,7.532887161378978,17.853006672199015,11.417121317771072
Terbinafine,O=C(O)CCOc1ccccc1C(=O)N(CCO)CCO,99,Literature,297.3070000000001,-0.03310000000000002,3,5,9,107.30000000000001,74.26490000000003,1,1,0,0,21,7,470.2869661001286,0,297.121237328,0,24.956354869172642,9.589074368143644,0.0,16.932966101694916,8.933954866459601,15.664925939000156,10.095754112725151
Loratadine,CC(C)c1ccc(cc1)[C@@H](O)C[C@@H](O)CCN2CCC(CC2)c3ccccc3,75,Literature,381.5600000000001,4.864100000000005,2,3,8,43.7,115.58860000000004,3,2,1,1,28,3,690.2475998573278,0,381.26677936000004,0,15.11296452053189,0.0,0.0,21.039082160298765,10.198583165171003,19.932510652501765,13.524877143252587
Cetirizine,CN(C)CCOC(c1ccccc1)c2ccccc2,70,Literature,255.36100000000002,3.3542000000000023,0,2,6,12.47,79.23300000000006,2,2,0,0,19,2,427.63544259070466,0,255.162314292,0,9.636772684650527,0.0,0.0,13.783863566244703,7.073267029461437,13.501789232183626,9.270856947829095
Fexofenadine,CN(C)CCOC(c1ccccc1)c2ccccc2,30,Literature,255.36100000000002,3.3542000000000023,0,2,6,12.47,79.23300000000006,2,2,0,0,19,2,427.63544259070466,0,255.162314292,0,9.636772684650527,0.0,0.0,13.783863566244703,7.073267029461437,13.501789232183626,9.270856947829095
Diphenhydramine,CN1CCC[C@H]1c2ccc(Cl)cc2Cl,60,Literature,230.13799999999998,3.760100000000003,0,1,1,3.24,61.067000000000036,2,1,1,1,14,3,338.05945825214303,0,229.042504776,0,0.0,4.899909730850478,0.0,10.283644802843693,4.09459186741956,10.129392033067417,6.6815405503520555
Promethazine,CN(C)CCOC(c1ccccc1)c2ccc(Cl)cc2Cl,70,Literature,324.2510000000001,4.661000000000004,0,2,6,12.47,89.25300000000006,2,2,0,0,21,4,572.2577206311995,0,323.084369588,0,9.636772684650527,0.0,0.0,16.312921587033127,7.808579720630516,15.242276208189782,10.075387400469408
Haloperidol,CN1c2ccccc2[C@H]3[C@H]1CCNC3,60,Literature,188.27399999999994,1.5818999999999999,1,2,0,15.27,58.86070000000004,3,1,1,2,14,2,347.9298953040156,0,188.131348512,0,10.216698334856808,0.0,0.0,8.30165539811872,2.9895520702499834,9.543605595440512,6.877010097711744
Chlorpromazine,CN1CCC[C@H]1c2ccc3c(c2)OCc4ccccc34,30,Literature,265.356,4.012700000000003,0,2,1,12.47,80.81500000000005,4,2,1,2,20,2,649.6165239273837,0,265.146664228,0,4.736862953800049,4.899909730850478,0.0,11.97999288002848,4.637130177514793,13.526733258565956,9.826499840494925
Clozapine,CCN1CCC[C@H]1c2ccc(Cl)c(Cl)c2,42,Literature,244.165,4.150200000000003,0,1,2,3.24,65.68400000000004,2,1,1,1,15,3,351.4753978271734,0,243.05815484,0,0.0,4.899909730850478,0.0,11.251509701357932,4.731534385813148,10.836498814253964,7.2195453528128395
Olanzapine,CNCCc1ccc(Oc2ccc(cc2)C(F)(F)F)cc1,50,Literature,295.304,4.259600000000003,1,2,5,21.259999999999998,75.59070000000003,2,2,0,0,21,5,561.5711146159448,0,295.118398792,0,10.05365155780638,0.0,0.0,15.380190092545025,6.628452129269361,15.294682450997078,9.986513110883855
Risperidone,CNC[C@H](Cc1ccc(Cl)c(Cl)c1)O,75,Literature,234.12599999999998,2.1161999999999996,2,2,4,32.26,60.09950000000003,1,1,0,0,14,4,304.1735143857119,0,233.037419396,0,10.423315998847038,0.0,0.0,11.792886297376093,5.564355894807109,10.55204176387779,6.6302289553358005
Fluoxetine,CN[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O,72,Literature,248.10899999999998,2.2084999999999995,2,2,4,49.33,60.64950000000002,1,1,0,0,15,5,368.44006291232483,0,247.016683952,0,10.423315998847038,4.794537184071822,0.0,12.300274068868585,5.351237049169955,11.422285251880869,7.040912557858759
Sertraline,CN[C@@H](CCc1ccc(O)cc1)C(=O)O,26,Literature,209.245,0.9973999999999998,3,3,5,69.56,56.911300000000026,1,1,0,0,15,4,321.1098482774644,0,209.10519334,0,15.529843393687743,4.794537184071822,0.0,11.524349442379181,5.360304513099234,11.259148545064338,7.1302289553358005
Paroxetine,CN(C)CCc1ccc(Oc2ccccc2C(=O)O)cc1,50,Literature,285.34299999999996,3.281200000000002,1,3,6,49.769999999999996,82.17530000000005,2,2,0,0,21,4,605.6872149389549,0,285.136493468,0,14.743300079491233,0.0,4.794537184071822,15.066372376029607,6.903379010975709,15.242276208189782,10.058550648063802
Imipramine,CN(C)CCc1ccc(cc1)C(=O)c2ccccc2,73,Literature,253.345,3.021700000000002,0,2,5,20.310000000000002,78.57450000000004,2,2,0,0,19,2,528.9483399553658,0,253.146664228,0,4.899909730850478,4.794537184071822,0.0,13.500472530578833,6.299269670979378,13.664925939000156,9.164703797946448
Doxepin,CN1C(=O)CC(c2ccccc2)C1=O,80,Literature,189.214,1.1588999999999998,0,2,1,37.38,51.57700000000003,2,1,1,1,14,3,372.13373827458224,0,189.078978592,0,0.0,14.48898409899412,0.0,8.936392125927783,3.253023017553445,10.129392033067417,6.698377302757662
Trazodone,CN1C(=O)CC(c2ccccc2Cl)C1=O,70,Literature,223.659,1.8122999999999998,0,2,1,37.38,56.58700000000003,2,1,1,1,15,4,430.3510275485296,0,223.04000624,0,0.0,14.48898409899412,0.0,10.177437710398491,3.6629127575484435,10.999635521070495,7.1090609052806215
Diazepam,CN1C(=O)CC(c2ccccc2Cl)C1=O,90,Literature,223.659,1.8122999999999998,0,2,1,37.38,56.58700000000003,2,1,1,1,15,4,430.3510275485296,0,223.04000624,0,0.0,14.48898409899412,0.0,10.177437710398491,3.6629127575484435,10.999635521070495,7.1090609052806215
Alprazolam,CN1C(=O)CC(c2ccccc2Cl)C1=O,88,Literature,223.659,1.8122999999999998,0,2,1,37.38,56.58700000000003,2,1,1,1,15,4,430.3510275485296,0,223.04000624,0,0.0,14.48898409899412,0.0,10.177437710398491,3.6629127575484435,10.999635521070495,7.1090609052806215
Lorazepam,CN1C(=O)CC(c2ccccc2Cl)C1=O,90,Literature,223.659,1.8122999999999998,0,2,1,37.38,56.58700000000003,2,1,1,1,15,4,430.3510275485296,0,223.04000624,0,0.0,14.48898409899412,0.0,10.177437710398491,3.6629127575484435,10.999635521070495,7.1090609052806215
Midazolam,NC(=O)c1ccccc1,95,Literature,121.13899999999995,0.7855000000000001,1,1,1,43.09,34.95990000000001,1,1,0,0,9,2,205.415952604261,0,121.052763844,0,5.733667477162185,4.794537184071822,0.0,5.820039011703511,2.306763635550358,6.69023444431199,4.304530452640311
Triazolam,CC(=O)Nc1ccccc1C(=O)O,90,Literature,179.17499999999995,1.3432,2,2,2,66.4,47.70500000000001,1,1,0,0,13,4,346.46798022455295,0,179.058243148,0,10.423315998847038,4.794537184071822,4.794537184071822,9.249605734767023,3.7092512583454584,9.844934982691242,6.109060905280622
Phenytoin,CC(C)C(=O)O,95,Literature,88.10599999999998,0.727,1,1,1,37.3,22.473799999999994,0,0,0,0,6,2,56.568425030288566,0,88.052429496,0,5.106527394840706,4.794537184071822,0.0,5.469999999999999,1.798837033645378,5.1547005383792515,2.6427344100918364
Carbamazepine,Nc1ccc(O)cc1C(=O)O,75,Literature,153.137,0.6726000000000001,3,3,1,83.55,39.478500000000004,1,1,0,0,11,4,295.7372022742226,0,153.042593084,0,15.946722266843596,0.0,4.794537184071822,7.397642626480085,2.4943628247787246,8.430721420318147,5.109060905280622
Valproic acid,CCCCCCCCCCCCCCCCc1ccccc1,90,Literature,302.54599999999994,7.710400000000008,0,0,15,0.0,100.45800000000008,1,1,0,0,22,0,314.0700121526738,0,302.297351216,0,0.0,0.0,0.0,19.26712535344015,15.128637218357298,15.719485892920583,10.931851652578137
Lamotrigine,CN1C[C@H](O)[C@H](O)[C@H]1CO,60,Literature,147.17399999999998,-1.9854999999999994,3,4,1,63.93000000000001,35.517399999999995,1,0,1,1,10,4,119.56055625999612,0,147.089543276,0,15.319582184522117,4.899909730850478,0.0,7.941626016260162,2.836692171472485,7.723614639131599,4.663902460147014
Levetiracetam,CN1C[C@H](O)[C@H](O)[C@H]1CO,85,Literature,147.17399999999998,-1.9854999999999994,3,4,1,63.93000000000001,35.517399999999995,1,0,1,1,10,4,119.56055625999612,0,147.089543276,0,15.319582184522117,4.899909730850478,0.0,7.941626016260162,2.836692171472485,7.723614639131599,4.663902460147014
Morphine,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)N(C)C,24,Literature,233.35499999999996,3.0768000000000013,0,1,4,20.310000000000002,72.09300000000005,1,1,0,0,17,2,365.01313903575067,0,233.177964356,0,4.899909730850478,4.794537184071822,0.0,13.753734862970044,5.852071020016532,12.999635521070495,7.913591357920932
Codeine,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)N(C)C,90,Literature,233.35499999999996,3.0768000000000013,0,1,4,20.310000000000002,72.09300000000005,1,1,0,0,17,2,365.01313903575067,0,233.177964356,0,4.899909730850478,4.794537184071822,0.0,13.753734862970044,5.852071020016532,12.999635521070495,7.913591357920932
Tramadol,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)N(C)C,26,Literature,233.35499999999996,3.0768000000000013,0,1,4,20.310000000000002,72.09300000000005,1,1,0,0,17,2,365.01313903575067,0,233.177964356,0,4.899909730850478,4.794537184071822,0.0,13.753734862970044,5.852071020016532,12.999635521070495,7.913591357920932
Methadone,CC(=O)Nc1ccc(O)cc1,55,Literature,151.165,1.3505999999999998,2,2,1,49.33,42.41050000000002,1,1,0,0,11,3,253.29949758389105,0,151.063328528,0,10.423315998847038,4.794537184071822,0.0,7.595374077976819,3.0531381005525,8.267584713501616,5.1815405503520555
Buprenorphine,CC(C)Cc1ccc(cc1)C(C)C(=O)O,63,Literature,206.28499999999997,3.073200000000001,1,1,4,37.3,61.03480000000004,1,1,0,0,15,2,324.8941190021566,0,206.130679816,0,5.106527394840706,4.794537184071822,0.0,11.763046018991963,4.964460295417243,11.422285251880869,7.002907755397974
Acetaminophen,COc1ccc2cc(ccc2c1)C(C)C(=O)O,90,Literature,230.26299999999998,3.036500000000001,1,2,3,46.53,66.55080000000004,2,2,0,0,17,3,560.3959195741091,0,230.094294308,0,9.843390348640755,4.794537184071822,0.0,11.455255502156714,4.454042614687935,12.41384908344359,8.113392202930193
Meloxicam,CC(C)NCC(COc1ccccc1)O,58,Literature,209.28900000000002,1.4242999999999997,2,3,6,41.489999999999995,61.08250000000004,1,1,0,0,15,3,261.5844462065182,0,209.141578848,0,15.160178952647085,0.0,0.0,12.011736011477758,6.428595766152918,11.096011838247808,7.1815405503520555
Piroxicam,CC(C)NCC(O)COc1ccc(C)cc1,98,Literature,223.316,1.7327199999999996,2,3,6,41.489999999999995,65.81950000000005,1,1,0,0,16,3,295.30583312377763,0,223.157228912,0,15.160178952647087,0.0,0.0,13.006934404283802,6.506858717965585,11.966255326250886,7.575387400469408
Albuterol,CC(C)NCC(O)COc1ccc(C)cc1,15,Literature,223.316,1.7327199999999996,2,3,6,41.489999999999995,65.81950000000005,1,1,0,0,16,3,295.30583312377763,0,223.157228912,0,15.160178952647087,0.0,0.0,13.006934404283802,6.506858717965585,11.966255326250886,7.575387400469408
Terbutaline,CC(C)NCC(O)COc1ccc(C)cc1,14,Literature,223.316,1.7327199999999996,2,3,6,41.489999999999995,65.81950000000005,1,1,0,0,16,3,295.30583312377763,0,223.157228912,0,15.160178952647087,0.0,0.0,13.006934404283802,6.506858717965585,11.966255326250886,7.575387400469408
Salmeterol,CN(C)C(=O)Oc1cccc(c1)C(C)C,50,Literature,207.27299999999997,2.870400000000001,0,2,2,29.540000000000003,60.24200000000004,1,1,0,0,15,3,345.230285329337,0,207.125928784,0,9.636772684650527,0.0,4.794537184071822,11.564128984432914,4.823126730687161,11.422285251880869,7.002907755397974
Formoterol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,30,Literature,194.194,-1.0293,0,6,0,61.82,51.19600000000001,2,2,0,0,14,6,616.5285919942219,0,194.08037556,0,4.567099647791355,13.928736479654532,9.77851570501903,8.73523326923911,2.5679479011227926,10.455665446700477,6.5365812602091875
