name,smiles,oral_bioavailability,source
Morphine,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)N(C)C,24,Literature
Codeine,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)N(C)C,90,Literature
Tramadol,CC(C)Cc1ccc(cc1)[C@@H](C)C(=O)N(C)C,26,Literature
Methadone,CC(=O)Nc1ccc(O)cc1,55,Literature
Buprenorphine,CC(C)Cc1ccc(cc1)C(C)C(=O)O,63,Literature
Acetaminophen,COc1ccc2cc(ccc2c1)C(C)C(=O)O,90,Literature
Meloxicam,CC(C)NCC(COc1ccccc1)O,58,Literature
Piroxicam,CC(C)NCC(O)COc1ccc(C)cc1,98,Literature
Albuterol,CC(C)NCC(O)COc1ccc(C)cc1,15,Literature
Terbutaline,CC(C)NCC(O)COc1ccc(C)cc1,14,Literature
Salmeterol,CN(C)C(=O)Oc1cccc(c1)C(C)C,50,Literature
Formoterol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,30,Literature
Ipratropium,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,40,Literature
Theobromine,CCCCCCCCCCCCCCCCc1ccccc1,95,Literature
